Address,City,State,Zip_code,File Date,Neighborhood,Lat_long
400 Block of Oak  Street,San Francisco,CA,94102,06/28/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/28/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/28/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/28/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/27/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/27/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
0 Block of Cumberland  Street,San Francisco,CA,94110,06/27/2000,Mission,"(37.7591515867378, -122.424733436252)"
0 Block of Cumberland  Street,San Francisco,CA,94110,06/27/2000,Mission,"(37.7591515867378, -122.424733436252)"
400 Block of Elizabeth  Street,San Francisco,CA,94114,06/27/2000,Noe Valley,"(37.7523486316106, -122.43084439501)"
400 Block of Oak  Street,San Francisco,CA,94102,06/27/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/27/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/27/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
400 Block of Oak  Street,San Francisco,CA,94102,06/27/2000,Hayes Valley,"(37.7745478675847, -122.426728379661)"
1500 Block of Howard  Street,San Francisco,CA,94103,06/26/2000,Mission,"(37.7720650957484, -122.416549895533)"
1400 Block of Green  Street,San Francisco,CA,94107,06/26/2000,Russian Hill,"(37.7976665292791, -122.422959461747)"
1400 Block of Green  Street,San Francisco,CA,94107,06/26/2000,Russian Hill,"(37.7976665292791, -122.422959461747)"
1400 Block of Green  Street,San Francisco,CA,94107,06/26/2000,Russian Hill,"(37.7976665292791, -122.422959461747)"
3100 Block of Laguna  Street,San Francisco,CA,94123,06/22/2000,Marina,"(37.8000328105069, -122.430956860218)"
3100 Block of Laguna  Street,San Francisco,CA,94123,06/22/2000,Marina,"(37.8000328105069, -122.430956860218)"
3100 Block of Laguna  Street,San Francisco,CA,94123,06/22/2000,Marina,"(37.8000328105069, -122.430956860218)"
3100 Block of Laguna  Street,San Francisco,CA,94123,06/22/2000,Marina,"(37.8000328105069, -122.430956860218)"
3100 Block of Laguna  Street,San Francisco,CA,94123,06/22/2000,Marina,"(37.8000328105069, -122.430956860218)"
3100 Block of Laguna  Street,San Francisco,CA,94123,06/22/2000,Marina,"(37.8000328105069, -122.430956860218)"
200 Block of Texas  Street,San Francisco,CA,94107,06/19/2000,Potrero Hill,"(37.7632766022278, -122.395552822883)"
